Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 19:58:22 	kea-dhcp6 	20611 	WARN [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_MT_DISABLED_QUEUE_CONTROL disabling dhcp queue control when multi-threading is enabled.
Apr 22 19:58:22 	kea-dhcp6 	20611 	WARN [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_RESERVATIONS_LOOKUP_FIRST_ENABLED Multi-threading is enabled and host reservations lookup is always performed first.
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.hooks.0x17bb68612000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_CFGMGR_SOCKET_TYPE_SELECT using socket type raw
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.commands.0x17bb68612000] COMMAND_ACCEPTOR_START Starting to accept connections via unix domain socket bound to /tmp/kea6-ctrl-socket
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.lease-cmds-hooks.0x17bb68612000] LEASE_CMDS_INIT_OK loading Lease Commands hooks library successful
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.hooks.0x17bb68612000] HOOKS_LIBRARY_LOADED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully loaded
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_CONFIG_COMPLETE DHCPv6 server has completed configuration: no IPv6 subnets!; DDNS: disabled
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_MEMFILE_DB opening memory file lease database: name=/var/lib/kea/dhcp6.leases persist=true type=memfile universe=6
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_MEMFILE_LEASE_FILE_LOAD loading leases from file /var/lib/kea/dhcp6.leases
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_MEMFILE_BUILD_EXTENDED_INFO_TABLES6 building extended info tables saw 0 leases, extended info sanity checks modified 0 / updated 0 leases and 0 leases were entered into tables
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_MEMFILE_LFC_SETUP setting up the Lease File Cleanup interval to 3600 sec
